"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!Households speaking!!Spanish","Total!!Margin of Error!!Households speaking!!Spanish","Total!!Estimate!!Households speaking!!Other Indo-European languages","Total!!Margin of Error!!Households speaking!!Other Indo-European languages","Total!!Estimate!!Households speaking!!Asian and Pacific Island languages","Total!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Total!!Estimate!!Households speaking!!Other languages","Total!!Margin of Error!!Households speaking!!Other languages","Percent!!Estimate!!All households","Percent!!Margin of Error!!All households","Percent!!Estimate!!Households speaking!!Spanish","Percent!!Margin of Error!!Households speaking!!Spanish","Percent!!Estimate!!Households speaking!!Other Indo-European languages","Percent!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent!!Estimate!!Households speaking!!Other languages","Percent!!Margin of Error!!Households speaking!!Other languages","Limited English-speaking households!!Estimate!!All households","Limited English-speaking households!!Margin of Error!!All households","Limited English-speaking households!!Estimate!!Households speaking!!Spanish","Limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Estimate!!Households speaking!!Other languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other languages","Percent limited English-speaking households!!Estimate!!All households","Percent limited English-speaking households!!Margin of Error!!All households","Percent limited English-speaking households!!Estimate!!Households speaking!!Spanish","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Percent limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Other languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other languages"
"0400000US40","Oklahoma","1469342","7193","96509","2931","18992","1606","24917","1528","15640","1851","(X)","(X)","6.6","0.2","1.3","0.1","1.7","0.1","1.1","0.1","31838","2213","22550","1921","1458","517","6002","862","1828","715","2.2","0.2","23.4","2.0","7.7","2.8","24.1","3.3","11.7","4.3"
"0400000US41","Oregon","1571678","6691","125381","4135","53585","3492","48958","2568","9902","1564","(X)","(X)","8.0","0.3","3.4","0.2","3.1","0.2","0.6","0.1","40103","3119","22178","2758","6397","1236","9905","1487","1623","636","2.6","0.2","17.7","2.1","11.9","2.2","20.2","3.0","16.4","6.1"
"0400000US42","Pennsylvania","4937771","13721","253349","5961","203575","6965","96627","4431","39531","3087","(X)","(X)","5.1","0.1","4.1","0.1","2.0","0.1","0.8","0.1","121175","6022","54863","4311","32907","3138","26198","2529","7207","1444","2.5","0.1","21.7","1.5","16.2","1.4","27.1","2.0","18.2","3.2"
"0400000US44","Rhode Island","408239","4139","43896","2485","39115","2890","8566","1329","4392","1174","(X)","(X)","10.8","0.6","9.6","0.7","2.1","0.3","1.1","0.3","19314","2549","10838","1800","6060","1222","1923","710","493","330","4.7","0.6","24.7","3.7","15.5","3.0","22.4","7.6","11.2","6.6"
"0400000US45","South Carolina","1877887","10574","78978","3861","34702","3251","19742","2191","6325","1760","(X)","(X)","4.2","0.2","1.8","0.2","1.1","0.1","0.3","0.1","26623","2783","19016","2514","3339","1167","3521","984","747","506","1.4","0.1","24.1","3.0","9.6","3.0","17.8","5.2","11.8","7.9"
"0400000US46","South Dakota","334003","3659","7482","1170","6690","1023","3232","741","6493","910","(X)","(X)","2.2","0.3","2.0","0.3","1.0","0.2","1.9","0.3","4559","943","1431","448","397","284","1439","642","1292","634","1.4","0.3","19.1","6.4","5.9","4.0","44.5","14.4","19.9","8.8"
"0400000US47","Tennessee","2556332","11690","103662","4470","37679","2805","29398","2075","15688","2476","(X)","(X)","4.1","0.2","1.5","0.1","1.2","0.1","0.6","0.1","38787","3666","25122","2728","3293","1007","6588","1288","3784","1295","1.5","0.1","24.2","2.3","8.7","2.6","22.4","4.4","24.1","7.3"
"0400000US48","Texas","9535612","20125","2785842","14554","260747","8944","306492","6841","106505","6013","(X)","(X)","29.2","0.1","2.7","0.1","3.2","0.1","1.1","0.1","772004","14141","655059","13872","28119","3437","71785","4604","17041","2564","8.1","0.1","23.5","0.5","10.8","1.2","23.4","1.4","16.0","2.3"
"0400000US49","Utah","943147","4975","104398","3747","31693","2346","26733","2472","8376","1292","(X)","(X)","11.1","0.4","3.4","0.2","2.8","0.3","0.9","0.1","22100","2598","15557","2227","2192","742","3304","930","1047","493","2.3","0.3","14.9","2.0","6.9","2.3","12.4","3.3","12.5","6.3"
"0400000US50","Vermont","254851","2815","3222","745","11407","1459","2538","635","1803","627","(X)","(X)","1.3","0.3","4.5","0.6","1.0","0.2","0.7","0.2","2111","671","75","110","845","334","690","440","501","433","0.8","0.3","2.3","3.3","7.4","2.9","27.2","15.4","27.8","20.2"
"0400000US51","Virginia","3120692","13161","207664","4990","132230","6080","125679","4102","53988","4667","(X)","(X)","6.7","0.2","4.2","0.2","4.0","0.1","1.7","0.1","88383","4633","43758","3338","12664","1760","24014","2302","7947","1515","2.8","0.1","21.1","1.6","9.6","1.3","19.1","1.6","14.7","2.6"
"0400000US53","Washington","2768076","8506","208853","4940","125155","5571","176145","5468","37388","3371","(X)","(X)","7.5","0.2","4.5","0.2","6.4","0.2","1.4","0.1","111947","5742","45811","3727","16129","2272","43076","3229","6931","1356","4.0","0.2","21.9","1.8","12.9","1.6","24.5","1.7","18.5","3.5"
"0400000US54","West Virginia","722125","5656","9984","1381","7842","1547","4169","1005","2394","791","(X)","(X)","1.4","0.2","1.1","0.2","0.6","0.1","0.3","0.1","2544","810","1319","591","558","439","581","323","86","102","0.4","0.1","13.2","5.6","7.1","5.0","13.9","7.2","3.6","4.5"
"0400000US55","Wisconsin","2326998","7745","107809","2941","58168","2908","36637","2332","11258","1398","(X)","(X)","4.6","0.1","2.5","0.1","1.6","0.1","0.5","0.1","39464","2539","21879","2076","6561","1021","9721","1391","1303","558","1.7","0.1","20.3","1.9","11.3","1.7","26.5","3.4","11.6","4.8"
"0400000US56","Wyoming","223619","4088","12787","1858","5034","1119","1793","626","1582","666","(X)","(X)","5.7","0.8","2.3","0.5","0.8","0.3","0.7","0.3","3296","1088","2259","823","826","627","211","216","0","197","1.5","0.5","17.7","5.4","16.4","10.7","11.8","11.5","0.0","9.6"
"0400000US72","Puerto Rico","1208438","9900","1151547","9534","1819","607","534","323","365","275","(X)","(X)","95.3","0.3","0.2","0.1","0.0","0.1","0.0","0.1","810105","9918","809223","9955","495","278","311","252","76","119","67.0","0.6","70.3","0.7","27.2","13.5","58.2","31.4","20.8","30.7"
